"","read_nai1","read_nai2","read_nai3","read_eff1","read_eff2","read_tem1","read_tem2","read_tcm1","read_tcm2"
"union_peak_31908",1.017404721,0.784685312,0.893236699,0.188327257,0.196466265,0.223346611,0.243676122,0.186996373,0.197981031
"union_peak_31916",1.824311913,1.326684444,1.071884039,4.849426867,4.678352924,4.394673019,3.980043318,3.095828842,3.157276444
"union_peak_31918",0.070165843,0.097074472,0.102084194,0.753309028,0.834981624,0.328450898,0.568577617,0.332437996,0.239661248
"union_peak_31958",0.257274757,0.097074472,0.119098227,0.965177192,0.613957077,0.768575102,0.710722021,0.425936183,0.427222225
"union_peak_31970",1.122653485,0.582446829,0.578477101,0.306031793,0.306978538,0.151087413,0.192910263,0.311660622,0.375121954
"union_peak_31981",1.520259928,1.092087805,1.335601541,0.36488406,0.466607378,0.545228491,0.558424445,0.768762867,0.916964776
"union_peak_31985",2.303778506,2.677637506,2.509569775,1.259438531,1.019168747,1.386062791,1.360525012,0.976536615,0.833604342
"union_peak_31986",0.08186015,0.250775718,0.323266615,0.776849935,0.528003086,0.716022958,0.964551314,0.415547496,0.562682931
"union_peak_31991",0.304051986,0.380208347,0.408336777,2.495336155,2.394432599,2.621038169,2.396148528,2.088126165,2.156951234
"union_peak_31992",0.467772286,0.938386558,0.859208635,2.660122504,2.455828306,2.489657809,2.375842185,1.859575043,1.604688358
"union_peak_31995",3.286100306,1.941489431,2.109740014,0.153015896,0.147349698,0.170794467,0.213216606,0.820706304,1.281666675
"union_peak_32007",0.444383671,0.372118808,0.323266615,2.848449761,1.731358956,2.161206911,2.091553376,1.371306736,1.469227652
"union_peak_32014",0.315746293,0.299312954,0.221182421,1.447765788,1.424380418,1.694806635,1.654966992,1.921907167,2.084010854
"union_peak_32021",4.712805777,2.232712845,2.433006629,0.976947645,1.117401879,0.670039833,0.558424445,1.973850604,1.92771004
"union_peak_32022",0.994016107,0.906028401,0.782645489,0.200097711,0.171907981,0.210208575,0.223369778,0.373992746,0.406382117
"union_peak_32025",0.771824271,0.849401626,0.952785813,0.282490885,0.085953991,0.019707054,0.071072202,0.135052936,0.156300814
"union_peak_32028",1.625508692,1.294326287,1.310080493,0.235409071,0.208745406,0.078828216,0.111684889,0.322049309,0.166720868
"union_peak_32029",0.865378728,1.059729648,0.961292829,0.047081814,0.049116566,0.026276072,0.06091903,0.186996373,0.156300814
"union_peak_32040",0.175414607,0.186059404,0.161633308,1.02402946,1.178797587,0.361295988,0.274135637,0.290883247,0.29176152
